id,tweet_type,attack_annotation
820697597220360192,tweet,1
820697689495076864,tweet,1
820697853102268416,tweet,1
820698322835042304,tweet,1
820699308509057025,tweet,1
820697853102268416,deletion,1
820698322835042304,deletion,1
820697597220360192,deletion,1
820699308509057025,deletion,1
820697689495076864,deletion,1
820703620261933056,tweet,2
820704597522182145,tweet,2
820704878544699393,tweet,2
820704597522182145,deletion,2
820703620261933056,deletion,2
820704878544699393,deletion,2
832301575456555014,tweet,1
832301776770568194,tweet,1
832302066190127104,tweet,1
832302137501683712,tweet,1
832302624015777794,tweet,1
832302951209238530,tweet,1
832302980548411392,tweet,1
832303005710090240,tweet,1
832302137501683712,deletion,1
832302066190127104,deletion,1
832301776770568194,deletion,1
832302624015777794,deletion,1
832301575456555014,deletion,1
832302951209238530,deletion,1
832302980548411392,deletion,1
832303005710090240,deletion,1
832618941662965764,tweet,1
832619012966060033,tweet,1
832619080062377984,tweet,1
832619143006351361,tweet,1
832620099274092545,tweet,1
832620606805864449,tweet,1
832620728453316608,tweet,1
832620099274092545,deletion,1
832619012966060033,deletion,1
832620728453316608,deletion,1
832619143006351361,deletion,1
832619080062377984,deletion,1
832618941662965764,deletion,1
832620606805864449,deletion,1
836242082113196032,tweet,1
836242279237107713,tweet,1
836242585454841856,tweet,1
836242598041960448,tweet,1
836242598041960448,deletion,1
836243940206587907,tweet,1
836244779071586306,tweet,1
836244946822774784,tweet,1
836245051705606144,tweet,1
836245269779988481,tweet,1
836245269779988481,deletion,1
836244946822774784,deletion,1
836244779071586306,deletion,1
836242279237107713,deletion,1
836242585454841856,deletion,1
836242082113196032,deletion,1
836243940206587907,deletion,1
836245051705606144,deletion,1
836256573458681856,tweet,2
836256871254208512,tweet,2
836257001244078080,tweet,2
836257701697048576,tweet,2
836257735280844801,tweet,2
836257735268261888,tweet,2
836257777219694594,tweet,2
836257949190336512,tweet,2
836258150521110528,tweet,2
836258616088879104,tweet,2
836258666420514816,tweet,2
836258968389431302,tweet,2
836259098417115137,tweet,2
836256871254208512,deletion,2
836257701697048576,deletion,2
836257735268261888,deletion,2
836259098417115137,deletion,2
836257777219694594,deletion,2
836258616088879104,deletion,2
836258666420514816,deletion,2
836258150521110528,deletion,2
836257001244078080,deletion,2
836256573458681856,deletion,2
836257949190336512,deletion,2
836258968389431302,deletion,2
836257735280844801,deletion,2
837660759299608576,tweet,1
837660876748500993,tweet,1
837661107452010496,tweet,1
837661489104359424,tweet,1
837661753370640385,tweet,1
837661107452010496,deletion,1
837661489104359424,deletion,1
837660876748500993,deletion,1
837661753370640385,deletion,1
837660759299608576,deletion,1
837682611657011200,tweet,2
837682620012060675,tweet,2
837682645198909446,tweet,2
837682942969249792,tweet,2
837682976536281088,tweet,2
837683005908975616,tweet,2
837683454707892225,tweet,2
837683526011072512,tweet,2
837683005908975616,deletion,2
837682611657011200,deletion,2
837682942969249792,deletion,2
837682620012060675,deletion,2
837682976536281088,deletion,2
837683526011072512,deletion,2
837682645198909446,deletion,2
837683454707892225,deletion,2
838057011971567617,tweet,1
838057091675869184,tweet,1
838057255257899009,tweet,1
838057657898524672,tweet,1
838057863419412482,tweet,1
838058169603588097,tweet,1
838058618406719488,tweet,1
838059406927486977,tweet,1
838059436316975104,tweet,1
838059641833680901,tweet,1
838059813783408640,tweet,1
838060451334356996,tweet,1
838060958811631617,tweet,1
838061181130653697,tweet,1
838061294355906560,tweet,1
838061759952994305,tweet,1
838062284249436164,tweet,1
838062561056731136,tweet,1
838060958811631617,deletion,1
838059813783408640,deletion,1
838057863419412482,deletion,1
838057657898524672,deletion,1
838058618406719488,deletion,1
838058169603588097,deletion,1
838060451334356996,deletion,1
838059641833680901,deletion,1
838059436316975104,deletion,1
838061181130653697,deletion,1
838059406927486977,deletion,1
838057255257899009,deletion,1
838061294355906560,deletion,1
838057091675869184,deletion,1
838061759952994305,deletion,1
838062284249436164,deletion,1
838062561056731136,deletion,1
838057011971567617,deletion,1
845317486446854144,tweet,1
845317650007887873,tweet,1
845317763266756610,tweet,1
845318094616702978,tweet,1
845318186895585280,tweet,1
845318488872902657,tweet,1
845319499716943876,tweet,1
845320351135490048,tweet,1
845320351135490048,deletion,1
845317486446854144,deletion,1
845318488872902657,deletion,1
845317650007887873,deletion,1
845318094616702978,deletion,1
845317763266756610,deletion,1
845319499716943876,deletion,1
845318186895585280,deletion,1
845322989352751105,tweet,2
845322989352751105,deletion,2
869129070323388418,tweet,1
869129288439779328,tweet,1
869129347151613952,tweet,1
869129397474873344,tweet,1
869129452026032128,tweet,1
869129464592162817,tweet,1
869129531717820416,tweet,1
869129661716062208,tweet,1
869129749804847104,tweet,1
869130404103692289,tweet,1
869129661716062208,deletion,1
869130404103692289,deletion,1
